date,data
2019-01-11 09:00:00,"2.442.030.536.366.310.000,00"
2019-01-11 10:00:00,"24.582.433.988.202.400,00"
2019-01-11 11:00:00,"2.469.605.678.823.310.000,00"
2019-01-11 12:00:00,"2.515.606.969.560.420.000,00"
2019-01-11 13:00:00,"2.596.409.095.501.900.000,00"
2019-01-11 14:00:00,"2.686.609.405.448.860.000,00"
2019-01-11 15:00:00,"2.740.080.795.328.050.000,00"
2019-01-11 16:00:00,"2.806.213.663.900.030.000,00"
2019-01-11 17:00:00,"2.855.191.423.799.210.000,00"
2019-01-11 18:00:00,"2.883.056.189.639.000.000,00"
2019-01-11 19:00:00,"2.848.754.185.359.110.000,00"
2019-01-11 20:00:00,"2.781.278.886.685.650.000,00"
2019-01-11 21:00:00,"266.458.078.994.402.000,00"
2019-01-11 22:00:00,"2.521.923.448.858.670.000,00"
2019-01-11 23:00:00,"238.535.559.959.643.000,00"
2019-01-12 00:00:00,"2.296.088.420.267.950.000,00"
2019-01-12 01:00:00,"215.501.024.413.390.000,00"
2019-01-12 02:00:00,"2.041.188.886.470.840.000,00"
2019-01-12 03:00:00,"1.966.545.206.002.960.000,00"
2019-01-12 04:00:00,"1.951.722.246.975.340.000,00"
2019-01-12 05:00:00,"195.639.692.541.464.000,00"
2019-01-12 06:00:00,"198.802.814.903.277.000,00"
2019-01-12 07:00:00,"2.067.702.377.369.160.000,00"
2019-01-12 08:00:00,"214.913.907.545.288.000,00"
2019-01-12 09:00:00,"222.015.185.885.321.000,00"
2019-01-12 10:00:00,"2.237.101.731.136.960.000,00"
2019-01-12 11:00:00,"226.546.442.536.655.000,00"
2019-01-12 12:00:00,"2.308.558.471.352.480.000,00"
2019-01-12 13:00:00,"237.520.650.672.689.000,00"
2019-01-12 14:00:00,"24.537.227.830.529.300,00"
2019-01-12 15:00:00,"2.535.852.898.540.820.000,00"
2019-01-12 16:00:00,"2.634.171.778.806.340.000,00"
2019-01-12 17:00:00,"27.265.311.322.444.700,00"
2019-01-12 18:00:00,"27.592.007.220.262.100,00"
2019-01-12 19:00:00,"2.732.180.187.137.690.000,00"
2019-01-12 20:00:00,"2.673.196.025.103.830.000,00"
2019-01-12 21:00:00,"257.711.660.417.056.000,00"
2019-01-12 22:00:00,"2.438.469.405.230.490.000,00"
2019-01-12 23:00:00,"2.304.994.181.345.240.000,00"
2019-01-13 00:00:00,"2.210.932.196.209.900.000,00"
2019-01-13 01:00:00,"2.080.404.109.109.230.000,00"
2019-01-13 02:00:00,"196.121.853.650.187.000,00"
2019-01-13 03:00:00,"1.896.869.708.256.360.000,00"
2019-01-13 04:00:00,"186.895.927.416.113.000,00"
2019-01-13 05:00:00,"186.691.250.598.570.000,00"
2019-01-13 06:00:00,"187.118.456.369.872.000,00"
2019-01-13 07:00:00,"191.822.810.149.862.000,00"
2019-01-13 08:00:00,"1.957.437.818.675.390.000,00"
2019-01-13 09:00:00,"200.232.267.399.799.000,00"
2019-01-13 10:00:00,"2.042.240.519.894.420.000,00"
2019-01-13 11:00:00,"2.063.566.512.141.220.000,00"
2019-01-13 12:00:00,"2.100.554.008.398.360.000,00"
2019-01-13 13:00:00,"214.711.315.582.884.000,00"
2019-01-13 14:00:00,"2.223.931.403.384.590.000,00"
2019-01-13 15:00:00,"233.027.814.923.211.000,00"
2019-01-13 16:00:00,"2.461.287.558.084.240.000,00"
2019-01-13 17:00:00,"2.594.802.132.482.080.000,00"
2019-01-13 18:00:00,"2.699.399.044.067.970.000,00"
2019-01-13 19:00:00,"271.238.326.916.676.000,00"
2019-01-13 20:00:00,"2.667.880.366.525.980.000,00"
2019-01-13 21:00:00,"2.578.598.927.149.360.000,00"
2019-01-13 22:00:00,"2.430.711.487.775.000.000,00"
2019-01-13 23:00:00,"2.298.886.909.588.690.000,00"
2019-01-14 00:00:00,"2.220.882.550.940.180.000,00"
2019-01-14 01:00:00,"2.112.347.429.223.990.000,00"
2019-01-14 02:00:00,"2.026.231.179.013.630.000,00"
2019-01-14 03:00:00,"1.971.913.662.860.320.000,00"
2019-01-14 04:00:00,"1.970.018.069.245.860.000,00"
2019-01-14 05:00:00,"2.050.842.668.301.190.000,00"
2019-01-14 06:00:00,"2.206.591.906.874.140.000,00"
2019-01-14 07:00:00,"2.411.204.102.933.400.000,00"
2019-01-14 08:00:00,"2.547.421.588.228.040.000,00"
2019-01-14 09:00:00,"2.618.783.562.300.870.000,00"
2019-01-14 10:00:00,"267.147.019.826.501.000,00"
2019-01-14 11:00:00,"274.595.927.454.008.000,00"
2019-01-14 12:00:00,"2.818.543.461.093.360.000,00"
2019-01-14 13:00:00,"2.920.445.494.341.200.000,00"
2019-01-14 14:00:00,"3.041.820.164.844.990.000,00"
2019-01-14 15:00:00,"3.189.569.065.144.060.000,00"
2019-01-14 16:00:00,"3.323.693.752.993.960.000,00"
2019-01-14 17:00:00,"341.097.318.991.589.000,00"
2019-01-14 18:00:00,"341.099.051.858.199.000,00"
2019-01-14 19:00:00,"334.072.747.075.063.000,00"
2019-01-14 20:00:00,"322.277.782.915.104.000,00"
2019-01-14 21:00:00,"3.040.514.828.919.360.000,00"
2019-01-14 22:00:00,"279.995.612.011.719.000,00"
2019-01-14 23:00:00,"2.592.899.769.857.430.000,00"
2019-01-15 00:00:00,"2.466.069.006.377.660.000,00"
2019-01-15 01:00:00,"2.321.465.800.495.480.000,00"
2019-01-15 02:00:00,"2.187.468.550.544.150.000,00"
2019-01-15 03:00:00,"2.116.527.879.665.740.000,00"
2019-01-15 04:00:00,"2.099.946.151.283.030.000,00"
2019-01-15 05:00:00,"215.514.282.648.021.000,00"
2019-01-15 06:00:00,"230.586.666.163.239.000,00"
2019-01-15 07:00:00,"2.509.519.914.580.970.000,00"
2019-01-15 08:00:00,"2.662.763.987.608.210.000,00"
2019-01-15 09:00:00,"2.801.870.486.453.240.000,00"
2019-01-15 10:00:00,"2.882.727.035.236.680.000,00"
2019-01-15 11:00:00,"299.732.737.059.276.000,00"
2019-01-15 12:00:00,"3.101.646.030.732.980.000,00"
2019-01-15 13:00:00,"3.222.742.720.551.510.000,00"
2019-01-15 14:00:00,"3.313.621.736.587.150.000,00"
2019-01-15 15:00:00,"341.054.015.377.048.000,00"
2019-01-15 16:00:00,"350.137.810.447.761.000,00"
2019-01-15 17:00:00,"356.861.775.134.289.000,00"
2019-01-15 18:00:00,"35.537.326.979.284.300,00"
2019-01-15 19:00:00,"3.463.175.706.271.030.000,00"
2019-01-15 20:00:00,"332.906.148.782.356.000,00"
2019-01-15 21:00:00,"313.787.918.849.421.000,00"
2019-01-15 22:00:00,"288.834.179.381.159.000,00"
2019-01-15 23:00:00,"2.664.347.123.712.160.000,00"
2019-01-16 00:00:00,"2.517.750.850.468.750.000,00"
2019-01-16 01:00:00,"2.352.595.936.852.390.000,00"
2019-01-16 02:00:00,"222.056.088.757.581.000,00"
2019-01-16 03:00:00,"2.157.481.203.614.760.000,00"
2019-01-16 04:00:00,"2.138.412.721.394.070.000,00"
2019-01-16 05:00:00,"2.192.202.345.005.800.000,00"
2019-01-16 06:00:00,"2.341.815.611.218.980.000,00"
2019-01-16 07:00:00,"254.891.158.275.173.000,00"
2019-01-16 08:00:00,"2.708.383.686.677.370.000,00"
2019-01-16 09:00:00,"2.824.424.828.416.400.000,00"
2019-01-16 10:00:00,"2.876.182.936.689.010.000,00"
2019-01-16 11:00:00,"2.994.217.326.296.210.000,00"
2019-01-16 12:00:00,"3.079.835.287.102.890.000,00"
2019-01-16 13:00:00,"3.209.009.481.911.490.000,00"
2019-01-16 14:00:00,"328.873.966.739.881.000,00"
2019-01-16 15:00:00,"332.034.995.221.208.000,00"
2019-01-16 16:00:00,"34.033.941.548.364.400,00"
2019-01-16 17:00:00,"344.803.397.199.005.000,00"
2019-01-16 18:00:00,"3.407.225.685.366.100,00"
2019-01-16 19:00:00,"3.313.003.500.322.850.000,00"
2019-01-16 20:00:00,"3.217.985.640.694.790.000,00"
2019-01-16 21:00:00,"307.586.124.634.530.000,00"
2019-01-16 22:00:00,"2.839.068.544.054.120.000,00"
2019-01-16 23:00:00,"2.637.083.265.470.570.000,00"
2019-01-17 00:00:00,"2.507.417.369.761.550.000,00"
2019-01-17 01:00:00,"2.344.692.801.564.890.000,00"
2019-01-17 02:00:00,"2.209.898.523.226.700,00"
2019-01-17 03:00:00,"214.803.581.704.488.000,00"
2019-01-17 04:00:00,"2.160.104.691.458.640.000,00"
2019-01-17 05:00:00,"2.234.204.414.267.400.000,00"
2019-01-17 06:00:00,"2.397.568.067.279.750.000,00"
2019-01-17 07:00:00,"2.595.394.646.507.640.000,00"
2019-01-17 08:00:00,"2.775.525.137.768.110.000,00"
2019-01-17 09:00:00,"288.445.123.751.305.000,00"
2019-01-17 10:00:00,"2.941.226.536.140.720.000,00"
2019-01-17 11:00:00,"3.019.519.164.369.980.000,00"
2019-01-17 12:00:00,"3.082.622.675.246.910.000,00"
2019-01-17 13:00:00,"3.162.635.534.599.890.000,00"
2019-01-17 14:00:00,"328.875.140.034.981.000,00"
2019-01-17 15:00:00,"339.292.403.037.680.000,00"
2019-01-17 16:00:00,"348.066.132.314.819.000,00"
2019-01-17 17:00:00,"355.354.821.983.730.000,00"
2019-01-17 18:00:00,"353.643.011.508.689.000,00"
2019-01-17 19:00:00,"342.831.737.960.675.000,00"
2019-01-17 20:00:00,"332.443.915.639.642.000,00"
2019-01-17 21:00:00,"3.147.613.837.433.000.000,00"
2019-01-17 22:00:00,"2.907.858.113.746.660.000,00"
2019-01-17 23:00:00,"2.689.247.604.608.220.000,00"
2019-01-18 00:00:00,"2.550.613.943.688.540.000,00"
2019-01-18 01:00:00,"238.349.529.508.845.000,00"
2019-01-18 02:00:00,"225.874.279.824.487.000,00"
2019-01-18 03:00:00,"2.190.588.432.468.850.000,00"
2019-01-18 04:00:00,"2.178.385.170.639.390.000,00"
2019-01-18 05:00:00,"2.227.888.927.757.310.000,00"
2019-01-18 06:00:00,"238.758.666.535.605.000,00"
2019-01-18 07:00:00,"2.592.061.585.888.600.000,00"
2019-01-18 08:00:00,"277.179.703.771.420.000,00"
2019-01-18 09:00:00,"2.855.732.583.600.780.000,00"
2019-01-18 10:00:00,"2.922.879.540.153.140.000,00"
2019-01-18 11:00:00,"297.758.207.760.624.000,00"
2019-01-18 12:00:00,"304.276.439.664.018.000,00"
2019-01-18 13:00:00,"3.089.916.148.349.690.000,00"
2019-01-18 14:00:00,"3.133.554.242.248.210.000,00"
2019-01-18 15:00:00,"320.129.569.840.246.000,00"
2019-01-18 16:00:00,"3.257.023.876.280.000.000,00"
2019-01-18 17:00:00,"327.164.647.260.592.000,00"
2019-01-18 18:00:00,"321.358.036.886.117.000,00"
2019-01-18 19:00:00,"3.111.257.122.672.380.000,00"
2019-01-18 20:00:00,"3.026.330.503.440.080.000,00"
2019-01-18 21:00:00,"2.913.830.095.552.820.000,00"
2019-01-18 22:00:00,"2.752.165.644.605.860.000,00"
2019-01-18 23:00:00,"258.033.206.451.918.000,00"
